date,ambiguity_metric,risk
2018-01-09,0.005197856487538408,0.0017383918259038763
2018-01-10,0.005457541810081681,0.0016636217444958572
2018-01-11,0.003875695074422739,0.0028787585929508403
2018-01-12,0.004423338740779516,0.0028001134309180056
2018-01-15,0.0057706388883748475,0.0032287469208659584
2018-01-16,0.006202441702375605,0.0034994450946163273
2018-01-17,0.007255006825981209,0.00421283328709151
2018-01-18,0.006611505508088692,0.00419911706723661
2018-01-19,0.005115448400869671,0.004121669849805843
2018-01-22,0.0055720381141992,0.005353603617539184
2018-01-23,0.005036009838786426,0.005812671549240233
2018-01-24,0.004721924954852481,0.004510531545702513
2018-01-25,0.003963473208242334,0.007164626730539802
2018-01-26,0.004073224125711409,0.007150426831395589
2018-01-29,0.004728498403310824,0.010914002095966536
2018-01-30,0.00559093849039469,0.008960564099753302
2018-01-31,0.0057472202537299875,0.00965672265914813
2018-02-01,0.00678361533906578,0.009691519065482691
2018-02-02,0.005763669318330035,0.010260931045451619
2018-02-05,0.004314367088728702,0.007292083711007476
2018-02-06,0.005772141568243603,0.014496392786634732
2018-02-07,0.006045136603801542,0.015301033992192865
2018-02-08,0.005822129573215753,0.015192574484845567
2018-02-09,0.006860513033912909,0.016961283977110445
2018-02-12,0.006482429800139451,0.02119073800033848
2018-02-13,0.006872668503357793,0.023733013400591276
2018-02-14,0.008676319142375204,0.02347307538424616
2018-02-22,0.009180677228473287,0.02565414212862572
2018-02-23,0.0058443209436538825,0.00642631886142777
2018-02-26,0.004913613664830075,0.006395263761485806
2018-02-27,0.005996151779632768,0.01321768108099822
2018-02-28,0.005056710013901306,0.014700433664399852
2018-03-01,0.005204255055094487,0.010951183123010227
2018-03-02,0.005355078732329546,0.011058046488562156
2018-03-05,0.005279638258615755,0.008208549702590376
2018-03-06,0.0029259635384610632,0.009021515315703173
2018-03-07,0.003909790914720528,0.008694558011653315
2018-03-08,0.004120032978690254,0.009449926179942286
2018-03-09,0.0045861854375523784,0.008004856054299523
2018-03-12,0.004821125183548058,0.007671214102068554
2018-03-13,0.004245917614221109,0.008759172520587992
2018-03-14,0.004148548383256286,0.008105384342992628
2018-03-15,0.0043496305587670345,0.0071384433473603804
2018-03-16,0.00390663356447577,0.007264213885468949
2018-03-19,0.004895451675708271,0.007220426587076647
2018-03-20,0.0032852434707360697,0.006376092472371751
2018-03-21,0.0029959353597312556,0.006334243920829113
