date,GPRD,ambiguity_metric_1,risk_1,ambiguity_metric_2,risk_2,daily_return
2018-01-09,77.14198303222656,0.0051978564875384,0.0017383918259038,3.321430242304072,0.0017383918259038,-4.535158217333635e-05
2018-01-10,71.72000122070312,0.0054575418100816,0.0016636217444958,3.566195910837833,0.0016636217444958,-9.50522906413287e-05
2018-01-11,95.51309204101562,0.0038756950744227,0.0028787585929508,3.2200643423366073,0.0028787585929508,0.00027352037370032
2018-01-12,167.51290893554688,0.0044233387407795,0.002800113430918,3.1193766691143265,0.002800113430918,7.574538189869529e-05
2018-01-15,58.96156311035156,0.0057706388883748,0.0032287469208659,3.5641700577556317,0.0032287469208659,6.863986556049362e-05
2018-01-16,58.74949645996094,0.0062024417023756,0.0034994450946163,3.1862288490082893,0.0034994450946163,-4.6963018970669346e-05
2018-01-17,128.2569580078125,0.0072550068259812,0.0042128332870915,3.5056448252671206,0.0042128332870915,0.0001106494179134998
2018-01-18,82.81419372558594,0.0066115055080886,0.0041991170672366,3.2631554262182214,0.0041991170672366,0.00014751369184629048
2018-01-19,102.11367797851562,0.0051154484008696,0.0041216698498058,3.1001418483356833,0.0041216698498058,0.00040385930755637567
2018-01-22,129.9990234375,0.0055720381141992,0.0053536036175391,3.0697888159801727,0.0053536036175391,0.00027217662879275295
2018-01-23,129.00125122070312,0.0050360098387864,0.0058126715492402,3.1611780106288747,0.0058126715492402,0.0004085993033267066
2018-01-24,136.3526611328125,0.0047219249548524,0.0045105315457025,3.167699091743966,0.0045105315457025,0.00025747591574853956
2018-01-25,82.48857879638672,0.0039634732082423,0.0071646267305398,3.2966270570796565,0.0071646267305398,0.00045151279706456826
2018-01-26,65.83985137939453,0.0040732241257114,0.0071504268313955,3.197251474540476,0.0071504268313955,0.00023514532209190087
2018-01-29,76.4438705444336,0.0047284984033108,0.0109140020959665,3.416702948169176,0.0109140020959665,5.579085866802558e-05
2018-01-30,95.8901138305664,0.0055909384903946,0.0089605640997533,3.3775225774006787,0.0089605640997533,-8.222814786962296e-05
2018-01-31,102.40994262695312,0.0057472202537299,0.0096567226591481,3.4042672018969564,0.0096567226591481,0.0001567167146563353
2018-02-01,52.32488250732422,0.0067836153390657,0.0096915190654826,3.34225176442954,0.0096915190654826,0.00022615160638306264
2018-02-02,30.99478530883789,0.00576366931833,0.0102609310454516,2.885044547933167,0.0102609310454516,0.00017562428579465106
2018-02-05,84.5761947631836,0.0043143670887287,0.0072920837110074,2.737189018523572,0.0072920837110074,0.00026679085703040784
2018-02-06,56.73699188232422,0.0057721415682436,0.0144963927866347,2.853438861930124,0.0144963927866347,9.40098830903846e-05
2018-02-07,76.4438705444336,0.0060451366038015,0.0153010339921928,3.030357154743492,0.0153010339921928,-0.00040472441722150254
2018-02-08,93.48350524902344,0.0058221295732157,0.0151925744848455,2.6348062040310145,0.0151925744848455,-2.9909001861838647e-05
2018-02-09,72.09941864013672,0.0068605130339129,0.0169612839771104,2.9849500096226773,0.0169612839771104,0.0005470815802841589
2018-02-12,124.49918365478516,0.0064824298001394,0.0211907380003384,2.1821218144189585,0.0211907380003384,-7.711824540623802e-06
2018-02-13,73.42066192626953,0.0068726685033577,0.0237330134005912,1.9492750426789085,0.0237330134005912,5.3361521769046405e-05
2018-02-14,37.50076675415039,0.0086763191423752,0.0234730753842461,1.7092748514221532,0.0234730753842461,-7.562408778416518e-06
2018-02-22,53.79000473022461,0.0091806772284732,0.0256541421286257,1.742046033026719,0.0256541421286257,-8.141996417521113e-05
2018-02-23,74.92713165283203,0.0058443209436538,0.0064263188614277,2.505133216839284,0.0064263188614277,5.64991181224439e-05
2018-02-26,90.38383483886719,0.00491361366483,0.0063952637614858,2.832690078399818,0.0063952637614858,0.00031332505896086715
2018-02-27,65.59539794921875,0.0059961517796327,0.0132176810809982,2.6754115355921444,0.0132176810809982,-0.00031278862139028085
2018-02-28,70.12908172607422,0.0050567100139013,0.0147004336643998,2.2502334055968065,0.0147004336643998,-2.982285225772152e-05
2018-03-01,93.70771789550781,0.0052042550550944,0.0109511831230102,2.4385964227032244,0.0109511831230102,9.87973887849325e-05
2018-03-02,151.3148193359375,0.0053550787323295,0.0110580464885621,2.359239070449789,0.0110580464885621,-0.00012447223771205884
2018-03-05,108.14913177490234,0.0052796382586157,0.0082085497025903,2.462419914741799,0.0082085497025903,6.222233283970091e-05
2018-03-06,88.45307922363281,0.002925963538461,0.0090215153157031,2.4776004094249444,0.0090215153157031,0.0004403693197894132
2018-03-07,134.17996215820312,0.0039097909147205,0.0086945580116533,2.788128051015546,0.0086945580116533,-0.00018081032748962222
2018-03-08,106.09647369384766,0.0041200329786902,0.0094499261799422,2.715970684383576,0.0094499261799422,8.338933499452139e-05
2018-03-09,101.20653533935547,0.0045861854375523,0.0080048560542995,3.152127556600715,0.0080048560542995,0.0001070968715541909
2018-03-12,135.9002227783203,0.004821125183548,0.0076712141020685,3.029431326530559,0.0076712141020685,-2.664870705315625e-05
2018-03-13,119.58728790283203,0.0042459176142211,0.0087591725205879,2.99369702909646,0.0087591725205879,0.0003961238547252055
2018-03-14,94.99882507324219,0.0041485483832562,0.0081053843429926,2.8378761516434254,0.0081053843429926,-0.0001570945365465537
2018-03-15,189.4098358154297,0.004349630558767,0.0071384433473603,2.9654567586650664,0.0071384433473603,0.00031258547259005454
2018-03-16,173.33203125,0.0039066335644757,0.0072642138854689,2.9005479538929437,0.0072642138854689,-5.1767107180134e-05
2018-03-19,95.18872833251953,0.0048954516757082,0.0072204265870766,3.3798961374940273,0.0072204265870766,1.7181371466223894e-05
2018-03-20,134.78366088867188,0.003285243470736,0.0063760924723717,3.2210405539812528,0.0063760924723717,2.6976719091242884e-05
2018-03-21,171.2620086669922,0.0029959353597312,0.0063342439208291,3.047367721179813,0.0063342439208291,0.00045329017222561774
2018-03-22,162.07073974609375,0.0044906045084636,0.0063707489482074,3.0531550621857217,0.0063707489482074,0.00010199157201351561
2018-03-23,84.1159896850586,0.0056171550266588,0.013028045100036,2.741141742146252,0.013028045100036,0.00039965363351757155
2018-03-26,81.37810516357422,0.0053925049201447,0.0113459349032057,2.304513753065252,0.0113459349032057,0.00010310633614207809
2018-03-27,90.82076263427734,0.0034596416879445,0.0134749106914495,1.878325569354243,0.0134749106914495,0.00019169231083804306
2018-03-28,91.53147888183594,0.0033135479804628,0.0138667736978022,1.9339633230242224,0.0138667736978022,-5.724783629201813e-05
2018-03-29,176.90615844726562,0.0033803218746126,0.0176644708160144,2.2094704266154297,0.0176644708160144,5.13606726193494e-06
2018-03-30,48.476600646972656,0.0047166981492944,0.0124455628053882,2.1987427974660596,0.0124455628053882,0.00011287666172399291
2018-04-02,139.22386169433594,0.0044831352161487,0.012111072004933,2.4345964263906836,0.012111072004933,-9.003748131719558e-05
2018-04-03,105.72024536132812,0.004646403894473,0.0114063626922364,2.7969861765456705,0.0114063626922364,3.365826504597713e-05
2018-04-04,70.6681137084961,0.0053548241103402,0.0075803660644411,2.774155465156994,0.0075803660644411,-0.00019711486090423502
2018-04-09,102.21106719970703,0.0028937800197615,0.0028010200317653,2.816021365787561,0.0028010200317653,9.604003571639375e-05
2018-04-10,213.29278564453125,0.0041843442416618,0.0101539917384149,2.738464050042978,0.0101539917384149,0.00030565694592676884
2018-04-11,102.49281311035156,0.0041383768919267,0.0098411043853429,2.798390760463665,0.0098411043853429,-1.015646027047179e-05
2018-04-12,296.52142333984375,0.0054776057018685,0.0108033078848645,2.8145292619302182,0.0108033078848645,-6.155613919900382e-05
2018-04-13,117.60595703125,0.005691132711749,0.0114779466676427,2.672372453527904,0.0114779466676427,-0.00033828713088612794
2018-04-16,194.28549194335938,0.0062406329331157,0.0138282380893674,3.220425880089169,0.0138282380893674,-0.0003857933564809235
2018-04-17,178.36903381347656,0.0057343868424292,0.0077715263056087,3.1571155864609626,0.0077715263056087,-0.00013336391812523996
2018-04-18,234.35853576660156,0.0059078669259325,0.0085049658441679,3.4473225511483685,0.0085049658441679,0.00019386278232924603
2018-04-19,214.136962890625,0.0053878593680232,0.0125390621471382,3.0643814051083025,0.0125390621471382,-1.3116852794703426e-05
2018-04-20,71.06819915771484,0.004747765071612,0.0131726649155235,3.313438662903974,0.0131726649155235,-0.00017014534134074388
2018-04-23,88.52149963378906,0.0042281287773713,0.0119961100604257,3.3480459355846444,0.0119961100604257,0.00013277285485546741
2018-04-24,150.57125854492188,0.0043045905079341,0.0126542612971537,3.0157642007530767,0.0126542612971537,0.0002758670945208763
2018-04-25,193.12814331054688,0.0059485380025392,0.0132792549299275,2.923417365728982,0.0132792549299275,7.313722109891785e-05
2018-04-26,146.26922607421875,0.006099638194994,0.0153274121000094,2.9877506549617174,0.0153274121000094,0.000316969874543771
2018-04-27,91.80326080322266,0.006245624989197,0.0141626022556544,3.2973501963642153,0.0141626022556544,0.0002369548374729913
2018-05-02,186.62353515625,0.0059529528782368,0.0141731079140631,2.8726761914474785,0.0141731079140631,1.8599312356926134e-05
2018-05-03,125.34039306640625,0.0064885833881318,0.0101345591473969,3.5519912286372968,0.0101345591473969,-5.0089766133520897e-05
2018-05-04,139.01663208007812,0.0064252828969139,0.0101752872692333,3.2156851004678524,0.0101752872692333,0.00022258967183907963
2018-05-07,79.70087432861328,0.0064934814324709,0.0078985189579489,3.252631382741782,0.0078985189579489,0.00015129342838737792
2018-05-08,125.366455078125,0.004323494492127,0.008137453826494,3.2256660859367363,0.008137453826494,5.156420000762552e-06
2018-05-09,284.1881103515625,0.0045375313275953,0.0087875138450335,3.0593431195471057,0.0087875138450335,0.0002118425131754087
2018-05-10,233.39476013183594,0.0042535495391572,0.0087106123801374,2.988822397459008,0.0087106123801374,0.00025179338554193187
2018-05-11,163.6328582763672,0.0050666795316111,0.0088107841167357,3.0548026762914144,0.0088107841167357,-1.0328231187073378e-05
2018-05-14,125.73249816894531,0.0054296652557019,0.007208042660134,2.6211557587468075,0.007208042660134,0.00024306994785505687
2018-05-15,112.64398956298828,0.0047221657887911,0.0058394890305035,2.559425471865819,0.0058394890305035,0.00031609590961689804
2018-05-16,150.57125854492188,0.0032260625039021,0.0073792277833895,2.5983295321036906,0.0073792277833895,-8.219544020793279e-05
2018-05-17,152.6919708251953,0.0034524272819462,0.0077013391305178,2.539020730813493,0.0077013391305178,-2.5878912568111367e-05
2018-05-18,92.46244812011719,0.0040627336975455,0.0088093594717822,2.681503569036619,0.0088093594717822,0.00029729106332809785
2018-05-21,125.66645050048828,0.0042344689473358,0.0079702875973949,2.601095596585381,0.0079702875973949,0.00026274102662871
2018-05-22,81.85124206542969,0.0041873262389565,0.0079454272084073,2.4394007365949184,0.0079454272084073,0.00023045545680111523
2018-05-23,179.17031860351562,0.0040379399294946,0.0093396420386834,2.7650399610711984,0.0093396420386834,-0.00020231573705187245
2018-05-24,153.59022521972656,0.0040316029472366,0.0092970242541359,2.606702579421488,0.0092970242541359,0.00013066019985785715
2018-05-25,140.5561981201172,0.0037454358591089,0.0065179157658734,2.798694489441395,0.0065179157658734,-3.144143247157949e-05
2018-05-28,102.57495880126953,0.0047679021890208,0.0064251870530171,3.238853970407858,0.0064251870530171,0.00015133013974555354
2018-05-29,71.2380142211914,0.0056229409178241,0.0065481925273476,3.403595287446109,0.0065481925273476,-4.2059108820047264e-05
2018-05-30,141.90927124023438,0.0046316485711051,0.0093450372930204,2.6820975471841906,0.0093450372930204,-0.0002577644838132054
2018-05-31,92.13764190673828,0.0034617747788443,0.0156347740140821,2.342953491780791,0.0156347740140821,0.0014221828927201141
2018-06-01,186.23287963867188,0.003283683311122,0.015970844511793,2.382252702865939,0.015970844511793,-8.486015311948147e-05
2018-06-04,146.1427001953125,0.0032392680055349,0.0167066502405051,2.2269055047124326,0.0167066502405051,0.00019701431374663514
2018-06-05,178.0370330810547,0.0030958113112713,0.0168681784208327,2.0365543665928794,0.0168681784208327,0.000267929838799974
2018-06-06,108.60877227783203,0.0046280218397871,0.0115413374717073,2.569819782101157,0.0115413374717073,0.00015638235485759822
2018-06-07,88.7294921875,0.0050046980578069,0.0080582832341766,3.044547341746658,0.0080582832341766,2.610345844722417e-05
2018-06-08,116.16471099853516,0.0050620748453966,0.0097482719613211,3.047573992990799,0.0097482719613211,0.00023552886816458063
2018-06-11,135.01004028320312,0.0043713171015448,0.0082922665229788,3.1523694610847492,0.0082922665229788,0.00010847794854962345
