date,5d20b,5d30b,5d40b,5d50b,5d60b,5d70b,5d80b,5d90b,5d100b,8d20b,8d30b,8d40b,8d50b,8d60b,8d70b,8d80b,8d90b,8d100b,11d20b,11d30b,11d40b,11d50b,11d60b,11d70b,11d80b,11d90b,11d100b,14d20b,14d30b,14d40b,14d50b,14d60b,14d70b,14d80b,14d90b,14d100b,17d20b,17d30b,17d40b,17d50b,17d60b,17d70b,17d80b,17d90b,17d100b,20d20b,20d30b,20d40b,20d50b,20d60b,20d70b,20d80b,20d90b,20d100b
2018-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,2.4858510043253723,2.8944634075831717,3.1838567523843575,3.321430242304072,3.529992295392193,3.6651058076923544,3.75524201885294,3.8466452440688013,3.9319393269612704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,2.8068502101565205,3.115774673053895,3.391973184608778,3.566195910837833,3.78439946237512,3.8828487349215717,3.9431831870470324,4.025393757988022,4.148362220172887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,2.348744633447534,2.722417591730542,2.9678988210421253,3.2200643423366073,3.3523278718537837,3.514315024288365,3.620626805011609,3.700277274659153,3.841852125851678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,2.2877571273032764,2.6228956417321174,2.894835960203319,3.1193766691143265,3.2640982216023477,3.4304982900838485,3.5337484438900546,3.6184893357136643,3.7119874846533643,2.2911490482381955,2.6434479406536813,2.9199099663488752,3.148953868885026,3.3124650837758765,3.449803694685831,3.568447657896126,3.6693649089351026,3.768812072477042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,2.7123598850797443,3.071680997065491,3.356061545384228,3.5641700577556317,3.7286246375638896,3.903707195365627,3.95937918771103,4.019496227820234,4.1606744955425485,2.7982418795136845,3.132757114930413,3.4275412296887615,3.654265138390074,3.775163798351072,3.9454416983278393,4.031966269516593,4.1226754705175575,4.252208537476591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-16,2.386499383542382,2.735530172787061,3.0295542266255318,3.1862288490082893,3.381675553818891,3.497757302366136,3.652498902539045,3.771858847977,3.8194740317249267,2.427912253716731,2.7719966940668916,3.094579144024493,3.2508558115335124,3.4679897797706674,3.579366472279037,3.736345526382064,3.845666712563362,3.9104432121081443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-17,2.7464961243728045,3.1274235345552026,3.3641578154133693,3.5056448252671206,3.6586767385331456,3.8008753086543883,3.855569773877993,3.9615546049377897,4.076150710110403,2.8399092619381174,3.2328864416135397,3.4588631579366504,3.610586129415737,3.757564643942991,3.9458985058485414,4.012654710494535,4.147303037765714,4.2092389478628105,2.865435188778551,3.2903831744260215,3.49139960104039,3.683515690388222,3.8300746827384993,4.022850517645571,4.075708293500071,4.221107068467584,4.2882922898353835,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-18,2.384302776018106,2.8198760713711764,3.0674261322834893,3.2631554262182214,3.4287192782845937,3.6121464947939947,3.6913783528481834,3.8012924113678936,3.933279962155472,2.4458148194138283,2.8736892884142184,3.1266215814929277,3.313928031168524,3.4938346703237957,3.6634874587832478,3.7501338750596176,3.8602699781942134,3.9610213155497926,2.4535955388716375,2.8702790818002386,3.1366737711476196,3.3289064669026063,3.4934735295290364,3.6819579584919118,3.7666055980116893,3.8753568752161494,3.9908959752043462,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-19,2.238395116097833,2.693642829376889,2.8942580652698835,3.1001418483356833,3.2689941215996656,3.4432783749951907,3.5699216736437696,3.6918149800765003,3.7698259260284726,2.255327561134593,2.687727403343048,2.9385546620450325,3.0986423633944984,3.31701400138524,3.4416610515887873,3.575073728417479,3.698987771304222,3.7727079908297303,2.265106203667637,2.691364661752804,2.9327563370541707,3.0962231527868527,3.3250584093653304,3.460044468844618,3.5772784101908277,3.6977998448261493,3.7771036088578676,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-22,2.2441361177960606,2.577557921711312,2.869749150980825,3.0697888159801727,3.2829597437293065,3.397113930288802,3.523389222795687,3.614564692702442,3.7282352068136726,2.2414864124835923,2.5859238433966616,2.8725852635841016,3.1093787492578198,3.2851303047756915,3.438495866636489,3.537415985503702,3.631018882638406,3.7587028776519547,2.2374991353316087,2.584886640095875,2.900823886354237,3.1353737618383257,3.2797740482315145,3.4546598854270614,3.5615577258842883,3.673499932543962,3.793355066905808,2.235251161301681,2.5582019317966394,2.891241486532888,3.1003379914037565,3.2630468481969523,3.427208140351499,3.5461764823704858,3.635974817970493,3.7701802247494043,,,,,,,,,,,,,,,,,,
2018-01-23,2.34173920917237,2.662490291766906,2.952720845365253,3.1611780106288747,3.3340354985473284,3.3781152012262434,3.5070074768301116,3.6413858816571416,3.7274463031112948,2.3741301679060576,2.711290099972668,2.9775012206131075,3.2148237829795914,3.3976596100715875,3.466941620439498,3.577080750891236,3.7236015774065265,3.812159393930709,2.3902323802633707,2.7319481496755054,3.0492551147673064,3.254203119173524,3.434817532874993,3.528580966993292,3.683282847213058,3.7856594917621464,3.879804830008174,2.4017812266815177,2.750841537613778,3.0513303552261704,3.2665168324480804,3.441828288198014,3.551885693369906,3.703178519562954,3.817612226986723,3.90607571607405,,,,,,,,,,,,,,,,,,
2018-01-24,2.3698882204344858,2.7470790974198414,3.0093142670071176,3.167699091743966,3.342409048350919,3.477699069512112,3.659127537001635,3.703583336917076,3.8454384218766515,2.226373746920913,2.6168846602368774,2.909977658796164,3.1139045985432334,3.2851837239088653,3.476887109993591,3.5727990349037526,3.703999939522038,3.78768088298302,2.2191149218980524,2.6067188455267436,2.881667748933622,3.103930599280492,3.2812743805618005,3.4379221596828007,3.5397804637420673,3.7123331531653996,3.738922597086446,2.2187148984428218,2.6038971484147706,2.8676100762540306,3.0989258096579713,3.2832694572691308,3.4541247608340226,3.542737900928378,3.706903692321194,3.7598952140744335,,,,,,,,,,,,,,,,,,
