Date,Monthly_Return_Pct,SSE300_Close,Ambiguity_Metric,Risk_Metric,Climate_Risk_Component,Global_GPR_Component,Correlation_Adjusted_Index,Equal_Weighted_Index,GPR_Japan,GPR_US,New_Ambiguity_Metric.1,New_Risk_Metric.1,GPR_China.1,New_Ambiguity_Metric,New_Risk_Metric,GPR_China
2018-01-01,3.73637674249008,4275.9,3.2904379616833968,0.0051685792319511,-0.3724053921586802,8.446737753371698,0.6434089977884254,4.037166180606509,472.13410666666664,203.275588,2.718473401330013,0.0142587892382062,0.5726341009140015,2.718473401330013,0.014258789238206221,0.5726341009140015
2018-02-01,-1.6305504225218703,4023.64,2.554281569279225,0.0149324323563225,-0.1395404973775932,6.57290970967429,0.6336189127383953,3.2166846061483483,472.422716,203.20177242857145,2.718473401330013,0.0102860852931244,0.3832004964351654,2.718473401330013,0.010286085293124466,0.3832004964351654
2018-03-01,2.1168989643531897,3898.5,2.685850382530014,0.0096570124098463,-0.2446332824753902,4.948989287515408,0.353583171832251,2.352178002520009,472.95180566666664,203.7994847142857,,,0.7768067717552185,,,0.7768067717552185
2018-04-01,-4.21315716095133,3756.88,2.97891824438606,0.0110784038563676,-0.4835886159916269,4.144822075658965,0.0495251010191377,1.830616729833669,473.171947,204.03746985714287,,,0.6782106757164001,,,0.6782106757164001
2018-05-01,1.0838023725868402,3802.38,2.8681584956831108,0.0087631265129696,-0.5001809644593489,3.9731473790811696,0.0150699195939033,1.7364832073109104,473.66968633333335,204.10862142857144,2.718473401330013,0.014509961488849,1.3966082334518433,2.718473401330013,0.014509961488849029,1.3966082334518433
2018-06-01,-2.81188762280259,3510.98,2.7965175271737186,0.012433535792715,0.0982688746584234,4.228830806116539,0.574038932962713,2.163549840387481,474.0108553333334,204.0409811428571,,,0.8385446071624756,,,0.8385446071624756
2018-07-01,1.93829839522856,3517.66,2.89606558269377,0.0138647711281009,-0.4753793347736067,3.6608601050395286,0.0010446753478723,1.592740385132961,474.225148,204.2070857142857,2.718473401330013,0.0193759102197617,0.5824111700057983,2.718473401330013,0.019375910219761722,0.5824111700057983
2018-08-01,-3.0399226646505304,3334.5,2.8658117324458514,0.0141371485999562,-0.2452204990399198,1.0085790893276003,-0.1008042396645437,0.3816792951438403,474.511367,204.406006,2.718473401330013,0.0117860249317476,0.6636500954627991,2.718473401330013,0.011786024931747626,0.6636500954627991
2018-09-01,4.37844579070596,3438.86,2.968481471294839,0.0117050362184755,0.574438156532259,-1.071072838245974,0.3849034455372285,-0.2483173408568574,474.7733466666666,204.2072632857143,,,0.5688447952270508,,,0.5688447952270508
2018-10-01,-0.2952642325384396,3153.82,2.4962907255515123,0.0231834307973845,0.7368682475548812,-2.165129304935263,0.4026077842915327,-0.7141305286901909,475.164155,204.49599685714287,2.718473401330013,0.0181091436874601,0.7131650447845459,2.718473401330013,0.018109143687460114,0.7131650447845459
2018-11-01,0.0848509735428494,3172.69,2.821502439093532,0.0134960430025475,0.083189203204203,-2.1994086273680957,-0.1797270103661053,-1.0581097120819465,475.46066866666666,204.4980092857143,2.7877881193860077,0.0200544117367825,0.5520046353340149,2.7877881193860077,0.020054411736782574,0.5520046353340149
2018-12-01,-3.8143716569862063,3010.65,2.6689139083956506,0.0106400257057676,-0.1232905697902722,-2.9654598635971356,-0.4506598413479101,-1.544375216693704,475.760347,204.79522,,,0.5407910943031311,,,0.5407910943031311
2019-01-01,4.67623201347196,3201.63,2.9657125661720385,0.009902837794219,-0.7133567393329738,-3.2221288345317074,-1.0023243582214596,-1.9677427869323405,476.09818433333334,204.975084,2.510529247162029,0.0100465011719267,0.8722649216651917,2.510529247162029,0.010046501171926727,0.8722649216651917
2019-02-01,10.74023488592063,3669.37,2.946853492026898,0.0174342442194608,0.1023367559141457,-2.3378912317070797,-0.1787357546090104,-1.117777237896467,476.4460096666666,205.20015142857144,2.4843668399738017,0.0080248206049154,0.9983633160591124,2.4843668399738017,0.008024820604915453,0.9983633160591124
2019-03-01,5.32057362616399,3872.34,2.939141414538768,0.0162337180110951,-0.5946274912772986,-2.3155466402083467,-0.7928479313555001,-1.4550870657428223,476.72755566666666,205.08710814285715,,,0.5782017707824707,,,0.5782017707824707
2019-04-01,-0.5236481905095596,3913.21,2.983892799771111,0.0135464426669053,-0.3737076729912181,-2.9944676500073566,-0.675574379690459,-1.6840876614992872,477.1847123333334,205.28063842857145,2.718473401330013,0.0071990537062905,0.4148739874362945,2.718473401330013,0.007199053706290588,0.4148739874362945
2019-05-01,1.51492141880662,3629.79,2.551830478887866,0.0192402153089415,-0.724466526732776,-5.1017886331760325,-1.2286591349922515,-2.9131275799544043,477.616643,205.7057908571429,2.4582044327855743,0.0220374461318983,0.8356961607933044,2.4582044327855743,0.0220374461318983,0.8356961607933044
2019-06-01,1.2808259501818402,3825.59,2.779666381943468,0.0109444930984639,0.4613081298205614,-5.121293041610648,-0.1817120037339604,-2.3299924558950433,478.15996033333334,205.79538271428572,,,0.9513742327690125,,,0.9513742327690125
2019-07-01,-1.08688092822523,3835.36,2.4382761753023603,0.0090277866245954,-0.1272040955236187,-4.066444232315752,-0.5809371567041336,-2.0968241639196856,478.2473943333334,205.8307348571429,2.7877881193860077,0.006964650969486,0.6628788113594055,2.7877881193860077,0.006964650969486025,0.6628788113594055
2019-08-01,2.32361337234415,3799.59,2.2519328650739703,0.0098064821528047,-0.353501490554679,-3.938573480996179,-0.7664404412885117,-2.146037485775429,478.677556,206.17928357142856,,,1.1367127895355225,,,1.1367127895355225
2019-09-01,-2.8442827932611,3814.53,2.7645008829519258,0.0072622106567704,0.2426090401917858,-0.8926184225397116,0.1118502608550156,-0.3250046911739628,478.82912366666665,206.0311502857143,2.649158683274018,0.0151262591936574,0.4964228272438049,2.649158683274018,0.015126259193657444,0.4964228272438049
2019-10-01,-0.27294488101656,3886.75,2.8214511211544173,0.0067001833373837,1.2183424377813137,-0.6927003673920245,0.9982230056249356,0.2628210351946445,479.161507,206.3621581428571,2.7877881193860077,0.0113594948567029,0.517092764377594,2.7877881193860077,0.011359494856702975,0.517092764377594
2019-11-01,-1.7740835114415994,3828.67,2.8877394870875377,0.0079305741717038,0.0657153749561018,0.1390125576229496,0.074157956243979,0.1023639662895257,479.449637,206.2024798571429,,,0.4441041350364685,,,0.4441041350364685
2019-12-01,5.31586230598666,4096.58,2.957506187537956,0.0066723084433118,-0.1525761218755418,0.3534957354723489,-0.0942853030785043,0.1004598067984035,479.77831633333335,206.2730972857143,2.718473401330013,0.0084945080576352,0.5560851693153381,2.718473401330013,0.008494508057635288,0.5560851693153381
2020-01-01,-2.52040250039743,4003.9,2.8441053391652726,0.0087359938580942,-0.5476114997887317,-0.4303791984301921,-0.5341083445817575,-0.4889953491094619,480.1852696666666,207.16395242857143,,,0.89552241563797,,,0.89552241563797
2020-02-01,15.075250385146491,3940.05,2.688928735367023,0.0179120168416585,-0.0375012298691219,0.6939888070167026,0.0467539061809316,0.3282437885737903,480.563417,206.63479314285715,,,1.0351626873016355,,,1.0351626873016355
2020-03-01,-2.5795982651085807,3686.16,2.3350712120799773,0.0215961947255631,-1.419898146800896,1.646758135205981,-1.0666718152991717,0.1134299942025425,480.831932,206.7985222857143,2.718473401330013,0.0092887165469833,0.9335943460464478,2.718473401330013,0.009288716546983348,0.9335943460464478
2020-04-01,7.381420770309719,3912.58,2.267091071547548,0.0098512651123794,-1.5605059009241733,3.030036839316708,-1.0317539239742102,0.7347654691962674,481.0961236666667,206.84362585714285,2.527519150841569,0.0100493265908381,0.9231234788894652,2.527519150841569,0.010049326590838122,0.9231234788894652
2020-05-01,-1.9799260534492495,3867.02,2.712114241134141,0.00761510097856,-1.1290926879721686,2.5164838516262287,-0.7091846484417687,0.6936955818270301,481.407313,207.047342,,,1.084441900253296,,,1.084441900253296
2020-06-01,6.04777738840515,4163.96,2.508023041363219,0.008257623288099,-0.8323126382290018,2.4428620868076147,-0.4550685499561646,0.8052747242893065,481.7515686666666,207.17626571428573,2.7877881193860077,0.009240143754617,0.6881785988807678,2.7877881193860077,0.009240143754617038,0.6881785988807678
2020-07-01,9.70901353828045,4695.05,3.1121842938994417,0.020274304164314,-1.2037854299382365,2.078175683056498,-0.8257596658914763,0.4371951265591307,482.1600123333333,207.2858765714286,2.7877881193860077,0.0072906846803085,0.8861320614814758,2.7877881193860077,0.0072906846803085495,0.8861320614814758
2020-08-01,0.7598398149453498,4816.22,3.0910053319281445,0.0107294395773716,-0.895113750025098,0.1100886237307673,-0.779331636137118,-0.3925125631471653,482.4840193333334,207.4088082857143,2.649158683274018,0.0094295592907731,0.5569837093353271,2.649158683274018,0.009429559290773134,0.5569837093353271
2020-09-01,-3.4702033681833098,4587.4,2.9513372552873873,0.0114779489242983,0.6959930150580559,-0.1910243550346857,0.5938237913812748,0.2524843300116851,482.79253666666665,207.71297,2.830940430253775,0.0104764024365273,0.6860551834106445,2.830940430253775,0.01047640243652736,0.6860551834106445
2020-10-01,2.0891318205797695,4695.33,2.682512767245245,0.0094567115624927,-0.0554154860792733,-0.4767628277699319,-0.1039474903559304,-0.2660891569246026,483.0586553333333,207.73343528571428,,,0.2679452896118164,,,0.2679452896118164
2020-11-01,2.12196321058942,4960.25,2.915936479468969,0.0093118220779738,-0.1804237787409129,-1.3492312157201922,-0.3150503965390917,-0.7648274972305525,483.39987533333334,207.74929,2.6923109941417858,0.0182540951730355,0.4027446210384369,2.6923109941417858,0.01825409517303552,0.4027446210384369
2020-12-01,4.158073616597779,5211.29,3.1858874036953404,0.0088179393433026,-0.8925042127633072,-1.649109360536971,-0.9796521798541988,-1.2708067866501391,483.723923,207.98784199999997,2.7877881193860077,0.0108393318269973,0.4795050323009491,2.7877881193860077,0.010839331826997384,0.4795050323009491
2021-01-01,4.20090433785262,5351.96,3.1866977942512458,0.0127896098757276,-0.5968658904668693,-4.078704722194015,-0.9979141476932628,-2.337785306330442,484.08909833333337,208.173864,,,0.5164251923561096,,,0.5164251923561096
2021-02-01,-0.7781602367306194,5336.76,3.0037390393738312,0.014216457513544,0.4826957121022221,-5.1009264690143405,-0.1604420242980119,-2.309115378456059,484.44597066666665,208.23542914285713,,,0.5529354214668274,,,0.5529354214668274
2021-03-01,-4.39942041176785,5048.36,2.7433676681912296,0.0177175974482182,0.2957197685100354,-6.734964704992601,-0.5140947839367328,-3.219622468241283,484.86604366666666,208.47701442857144,2.4843668399738017,0.0172496192926436,0.7567888498306274,2.4843668399738017,0.017249619292643674,0.7567888498306274
2021-04-01,1.7867596524421203,5123.49,3.059998575112413,0.0096314319265257,-0.108633159901733,-7.324883032107149,-0.9398216711524344,-3.716758096004441,485.11713633333335,208.7815962857143,2.6923109941417858,0.0084785433750898,0.5830903649330139,2.6923109941417858,0.008478543375089827,0.5830903649330139
2021-05-01,5.81670054464347,5331.57,3.0222560146159645,0.0114463015218794,0.5356638522769485,-8.907651696304903,-0.5520445185665769,-4.185993922013977,485.4311623333333,208.87484471428567,2.857102837442002,0.0097232806888473,0.4451698958873749,2.857102837442002,0.009723280688847322,0.4451698958873749
2021-06-01,-1.5825971874329998,5224.04,3.008980238629584,0.0068146701287782,0.4467426181500568,-9.264569205094505,-0.6718343379700968,-4.408913293472224,485.747099,208.95411171428572,2.622996276085791,0.0071811071577337,0.5518763661384583,2.622996276085791,0.00718110715773377,0.5518763661384583
2021-07-01,-6.05589359271246,4811.17,3.002701064459268,0.012932864015874,0.2293649279871118,-10.10030037214345,-0.9604357683002448,-4.935467722078169,486.07193,208.85840457142857,,,0.4611836969852447,,,0.4611836969852447
2021-08-01,4.370760929254979,4805.61,2.9473960662909833,0.0124872151276947,-0.9659728898918356,-10.83210151024626,-2.1023820920380016,-5.899037200069047,486.395665,209.22953942857143,2.718473401330013,0.0085960235395619,0.4856650531291961,2.718473401330013,0.008596023539561997,0.4856650531291961
2021-09-01,4.27928557021964,4866.38,2.9750833575869615,0.0088381794248307,0.3899124151539653,-11.307972450059426,-0.9574837640372718,-5.45903001745273,486.904888,209.45086828571428,2.4582044327855743,0.0113872820741258,0.6832298040390015,2.4582044327855743,0.01138728207412584,0.6832298040390015
2021-10-01,1.48162595542416,4908.77,2.7102900868903057,0.0083945252288427,1.0644289911505695,-10.094443580411497,-0.2208821946105622,-4.515007294630464,487.121631,209.442425,,,0.5788067579269409,,,0.5788067579269409
2021-11-01,0.4208180832864703,4832.03,2.9075099812871894,0.0069452353633902,-1.3268025846473843,-9.778803785048751,-2.3003285045174136,-5.552803184848068,487.412523,209.72811242857145,2.857102837442002,0.0062169180200633,0.5034919381141663,2.857102837442002,0.006216918020063399,0.5034919381141663
2021-12-01,1.4656726467728702,4940.37,2.994370586125067,0.0079047767947969,-1.383953984346229,-9.994757044073165,-2.3757711612229,-5.689355514209697,487.8311983333333,210.17072428571427,2.622996276085791,0.0088804905750601,0.6255012154579163,2.622996276085791,0.008880490575060199,0.6255012154579163
2022-01-01,-6.876034928915351,4563.77,3.092048966530324,0.0100642388510855,-0.0558918865692477,-9.392217574086375,-1.1312768560738269,-4.724054730327812,488.1376016666666,210.78775557142856,,,0.5946640968322754,,,0.5946640968322754
2022-02-01,0.6528340262378804,4581.65,2.7082467622767235,0.0107640882405539,-0.95280781786226,-8.154519305694118,-1.7823217559929267,-4.553663561778189,488.742503,211.97475714285716,2.5968338688975634,0.0076272242697313,1.2469236850738523,2.5968338688975634,0.007627224269731355,1.2469236850738523
2022-03-01,-7.708375354984046,4222.6,2.5870401829707093,0.0170341928177844,0.8214160310017645,-4.7030653945276235,0.1850902977141281,-1.9408246817629295,489.0502946666666,213.45050214285715,2.649158683274018,0.00805798434105,1.8261394500732424,2.649158683274018,0.008057984341050005,1.8261394500732424
2022-04-01,2.4285733387059296,4016.24,2.845878980503472,0.0173878679266706,-1.4959752772007018,1.1976815242615344,-1.1857121036302636,-0.1491468764695837,489.180371,212.12632842857144,,,1.0752688646316528,,,1.0752688646316528
2022-05-01,5.08331202522862,4091.52,2.6166566174979953,0.0133085828777279,-3.037046864571048,4.252644265528062,-2.197399177031544,0.6077987004785068,489.69847766666663,211.575859,2.553681558029796,0.0076152731338367,1.0244989395141602,2.5536815580297962,0.007615273133836776,1.0244989395141602
2022-06-01,12.534353091368642,4485.01,3.1309248985038147,0.0106217013171754,-0.4932535410607068,6.846096721623718,0.3521140288573958,3.176421590281506,489.9502253333333,211.64754457142857,2.293412589485358,0.0323163604465215,0.9876543283462524,2.293412589485358,0.03231636044652159,0.9876543283462524
2022-07-01,-7.04149182922944,4170.1,3.006018898551081,0.0090751285986545,-0.9168060969133944,9.831953801670602,0.3212671261753738,4.457573852378604,490.136413,211.67154514285716,,,0.8302004933357239,,,0.8302004933357239
2022-08-01,0.3214110482904998,4078.84,3.037705361660719,0.0099421364566762,-0.4228187205141731,11.829198559893207,0.98840403139524,5.7031899196895175,490.752986,211.9956105714286,,,1.3558781147003174,,,1.3558781147003174
2022-09-01,-5.27984595165097,3804.89,2.9482195366750164,0.0080650140323358,-0.550521083933197,15.22448941615849,1.2664902065209298,7.3369841661126465,490.8841203333333,212.2263317142857,,,1.2601120471954346,,,1.2601120471954346
2022-10-01,-5.11452764587573,3508.7,2.9799728500796836,0.0131832931923797,-0.6470368760181595,18.477940966113348,1.5558333324445217,8.915452045047594,491.3171396666667,212.65007514285713,,,1.3505311012268066,,,1.3505311012268066
2022-11-01,10.851063643715818,3853.04,2.5595838181091763,0.0144835698197969,-0.5985746388300315,22.79784699229324,2.0962928073582967,11.099636176731604,491.53684666666663,212.248533,,,1.140918850898743,,,1.140918850898743
2022-12-01,-0.4537365512470899,3871.63,2.7343439035317414,0.008970895463195,0.1185352293599553,24.57210729922677,2.935168317662714,12.345321264293364,491.8156913333333,212.32374,,,0.746640145778656,,,0.746640145778656
2023-01-01,3.2930433661072103,4156.86,2.937948932892788,0.0068898386073054,0.2795354404223277,25.174719356847053,3.147034657225562,12.727127398634693,492.1504333333333,212.22111514285712,,,0.5522088408470154,,,0.5522088408470154
2023-02-01,-0.4169779989228604,4069.46,2.7584915215136627,0.009830612680808,0.1348992347797205,22.414820877487227,2.7011649862350047,11.274860056133472,492.548553,212.67052028571428,,,1.4616755247116089,,,1.4616755247116089
2023-03-01,-0.4018390141422401,4050.93,2.9631587708862916,0.0076237020285362,1.0359988571605474,19.357209253001795,3.146288808716243,10.19660405508117,492.860076,212.7201227142857,,,1.4299967288970947,,,1.4299967288970947
2023-04-01,0.3920604585066,4029.09,3.0962956193435813,0.0068770722992124,0.3766992878314498,18.63787540120074,2.48007431726616,9.507287344516095,493.2402583333333,212.696219,,,1.1246145963668823,,,1.1246145963668823
2023-05-01,-4.79731864784112,3798.54,3.0696692170855204,0.008006939779005,0.5033787241728377,17.95223849025894,2.5131888095826014,9.227808607215886,493.62669,212.83645942857143,,,0.8981497883796692,,,0.8981497883796692
