Date,Daily_Return,SSE300_Close,Ambiguity_Metric,Risk_Metric,Climate_Risk_Component,Global_GPR_Component,Correlation_Adjusted_Index,Equal_Weighted_Index,Climate_Risk_Index,GPR_China,GPR_Japan,GPR_US
2018-01-09,0.007639132756389649,4189.3,3.321430242304072,0.0017383918259038,-0.3724053921586802,8.446737753371698,0.6434089977884254,4.037166180606509,2018-01-09 00:00:00,"GPR_China    0.685466
GPR_China    0.572634
Name: 1416, dtype: object","GPR_Japan    0.251627
GPR_Japan    0.150693
Name: 1416, dtype: object","GPR_US    0.091106
GPR_US    1.032538
GPR_US    2.203905
GPR_US    0.105485
GPR_US    1.039783
GPR_US    2.456299
Name: 1416, dtype: object"
2018-01-10,0.004922143675964985,4207.81,3.566195910837833,0.0016636217444958,-0.3724053921586802,8.446737753371698,0.6434089977884254,4.037166180606509,2018-01-10 00:00:00,"GPR_China    0.685466
GPR_China    0.572634
Name: 1416, dtype: object","GPR_Japan    0.251627
GPR_Japan    0.150693
Name: 1416, dtype: object","GPR_US    0.091106
GPR_US    1.032538
GPR_US    2.203905
GPR_US    0.105485
GPR_US    1.039783
GPR_US    2.456299
Name: 1416, dtype: object"
2018-01-11,0.0020204378727268226,4205.59,3.2200643423366073,0.0028787585929508,-0.3724053921586802,8.446737753371698,0.6434089977884254,4.037166180606509,2018-01-11 00:00:00,"GPR_China    0.685466
GPR_China    0.572634
Name: 1416, dtype: object","GPR_Japan    0.251627
GPR_Japan    0.150693
Name: 1416, dtype: object","GPR_US    0.091106
GPR_US    1.032538
GPR_US    2.203905
GPR_US    0.105485
GPR_US    1.039783
GPR_US    2.456299
Name: 1416, dtype: object"
2018-01-12,0.004722791631194127,4225.0,3.1193766691143265,0.002800113430918,-0.3724053921586802,8.446737753371698,0.6434089977884254,4.037166180606509,2018-01-12 00:00:00,"GPR_China    0.685466
GPR_China    0.572634
Name: 1416, dtype: object","GPR_Japan    0.251627
GPR_Japan    0.150693
Name: 1416, dtype: object","GPR_US    0.091106
GPR_US    1.032538
GPR_US    2.203905
GPR_US    0.105485
GPR_US    1.039783
GPR_US    2.456299
Name: 1416, dtype: object"
2018-01-13,,,,,-0.3724053921586802,8.446737753371698,0.6434089977884254,4.037166180606509,,"GPR_China    0.685466
GPR_China    0.572634
Name: 1416, dtype: object","GPR_Japan    0.251627
GPR_Japan    0.150693
Name: 1416, dtype: object","GPR_US    0.091106
GPR_US    1.032538
GPR_US    2.203905
GPR_US    0.105485
GPR_US    1.039783
GPR_US    2.456299
Name: 1416, dtype: object"
2018-01-14,,,,,-0.3724053921586802,8.446737753371698,0.6434089977884254,4.037166180606509,,"GPR_China    0.685466
GPR_China    0.572634
Name: 1416, dtype: object","GPR_Japan    0.251627
GPR_Japan    0.150693
Name: 1416, dtype: object","GPR_US    0.091106
GPR_US    1.032538
GPR_US    2.203905
GPR_US    0.105485
GPR_US    1.039783
GPR_US    2.456299
Name: 1416, dtype: object"
2018-01-15,-0.0010875115843626151,4225.24,3.5641700577556317,0.0032287469208659,-0.3724053921586802,8.446737753371698,0.6434089977884254,4.037166180606509,2018-01-15 00:00:00,"GPR_China    0.685466
GPR_China    0.572634
Name: 1416, dtype: object","GPR_Japan    0.251627
GPR_Japan    0.150693
Name: 1416, dtype: object","GPR_US    0.091106
GPR_US    1.032538
GPR_US    2.203905
GPR_US    0.105485
GPR_US    1.039783
GPR_US    2.456299
Name: 1416, dtype: object"
2018-01-16,0.010164578401279139,4258.47,3.1862288490082893,0.0034994450946163,-0.3724053921586802,8.446737753371698,0.6434089977884254,4.037166180606509,2018-01-16 00:00:00,"GPR_China    0.685466
GPR_China    0.572634
Name: 1416, dtype: object","GPR_Japan    0.251627
GPR_Japan    0.150693
Name: 1416, dtype: object","GPR_US    0.091106
GPR_US    1.032538
GPR_US    2.203905
GPR_US    0.105485
GPR_US    1.039783
GPR_US    2.456299
Name: 1416, dtype: object"
2018-01-17,-0.003205233493986047,4248.12,3.5056448252671206,0.0042128332870915,-0.3724053921586802,8.446737753371698,0.6434089977884254,4.037166180606509,2018-01-17 00:00:00,"GPR_China    0.685466
GPR_China    0.572634
Name: 1416, dtype: object","GPR_Japan    0.251627
GPR_Japan    0.150693
Name: 1416, dtype: object","GPR_US    0.091106
GPR_US    1.032538
GPR_US    2.203905
GPR_US    0.105485
GPR_US    1.039783
GPR_US    2.456299
Name: 1416, dtype: object"
2018-01-18,0.0028267024778254025,4271.42,3.2631554262182214,0.0041991170672366,-0.3724053921586802,8.446737753371698,0.6434089977884254,4.037166180606509,2018-01-18 00:00:00,"GPR_China    0.685466
GPR_China    0.572634
Name: 1416, dtype: object","GPR_Japan    0.251627
GPR_Japan    0.150693
Name: 1416, dtype: object","GPR_US    0.091106
GPR_US    1.032538
GPR_US    2.203905
GPR_US    0.105485
GPR_US    1.039783
GPR_US    2.456299
Name: 1416, dtype: object"
