Date,China,Hongkong,Japan,US
1900-01-01,0.23303987085819244,0.0,0.09062661975622177,2.7187986373901367
1900-02-01,0.0975881814956665,0.0,0.041823506355285645,2.732469081878662
1900-03-01,0.14171604812145233,0.0,0.10306622087955475,2.1515073776245117
1900-04-01,0.10683760792016983,0.0,0.1469017118215561,1.7761752605438232
1900-05-01,0.10869564861059189,0.0,0.0679347813129425,1.9701087474822998
1900-06-01,1.494378924369812,0.0,0.726624608039856,2.7282698154449463
1900-07-01,2.8013808727264404,0.01327668596059084,1.0355814695358276,3.544875144958496
1900-08-01,2.6454312801361084,0.013497098349034786,1.26872718334198,3.549736738204956
1900-09-01,0.9090909361839294,0.0,0.2985074520111084,2.008141040802002
1900-10-01,0.4391382038593292,0.027446137741208076,0.06861533969640732,1.2625223398208618
1900-11-01,0.4508812725543976,0.0,0.08197841048240662,1.5985790491104126
1900-12-01,0.32705390453338623,0.0,0.11773940175771713,1.6091052293777466
1901-01-01,0.32107412815093994,0.0,0.10215995460748672,1.4448336362838745
1901-02-01,0.3246753215789795,0.0,0.09276437759399414,1.6542980670928955
1901-03-01,0.5859653949737549,0.0,0.38587966561317444,1.6864370107650757
1901-04-01,0.34949758648872375,0.0,0.14562399685382843,1.2960536479949951
1901-05-01,0.15779659152030945,0.0,0.10041601210832596,1.23368239402771
1901-06-01,0.19262520968914032,0.0,0.09631260484457016,1.073197603225708
1901-07-01,0.11687362939119339,0.0,0.043827611953020096,1.2125638723373413
1901-08-01,0.3596583306789398,0.0,0.014985763467848301,2.023077964782715
1901-09-01,0.20283976197242737,0.0,0.06241223216056824,1.435481309890747
1901-10-01,0.15060241520404816,0.0,0.0602409653365612,1.2650601863861084
1901-11-01,0.09906595200300217,0.0,0.08491367101669312,1.4859892129898071
1901-12-01,0.1265111118555069,0.014056789688766003,0.028113579377532005,1.7711554765701294
1902-01-01,0.10561056435108185,0.0,0.026402641087770462,1.2013201713562012
1902-02-01,0.17660044133663177,0.0,0.17660044133663177,1.4275202751159668
1902-03-01,0.14411109685897827,0.0,0.09170705825090408,1.270797848701477
1902-04-01,0.12811388075351715,0.0,0.02846975065767765,1.4804270267486572
1902-05-01,0.09470978379249573,0.0,0.013529968447983265,1.2988770008087158
1902-06-01,0.11892177909612656,0.013213531114161015,0.05285412445664406,1.2420718669891357
1902-07-01,0.07841087132692337,0.0,0.013068478554487228,1.2937793731689453
1902-08-01,0.11889035999774933,0.0,0.09247028082609177,1.8758256435394287
1902-09-01,0.09838369488716125,0.0,0.04216444119811058,1.7287421226501465
1902-10-01,0.06578081846237183,0.0,0.0263123270124197,1.6971451044082642
1902-11-01,0.14933478832244873,0.0,0.04072766751050949,0.8824328184127808
1902-12-01,0.10890280455350876,0.0,0.02722570113837719,1.8241219520568848
1903-01-01,0.13700507581233978,0.0,0.041101519018411636,1.7947664260864258
1903-02-01,0.1774098128080368,0.0,0.0443524532020092,1.7593140602111816
1903-03-01,0.03785966709256172,0.0,0.0,1.0095911026000977
1903-04-01,0.14380212128162384,0.0,0.08628127723932266,1.0928962230682373
1903-05-01,0.21384656429290771,0.0,0.12028869241476059,1.202886939048767
1903-06-01,0.08324084430932999,0.0,0.05549389496445656,0.9988901019096375
1903-07-01,0.19682271778583527,0.0,0.2671165466308594,1.138759970664978
1903-08-01,0.09377092868089676,0.0,0.08037508279085159,1.9691895246505737
1903-09-01,0.028789404779672623,0.0,0.04318410903215408,2.130415916442871
1903-10-01,0.38033527135849,0.0,0.6479786038398743,1.5636005401611328
1903-11-01,0.23239918053150177,0.0,0.2870813310146332,2.214627504348755
1903-12-01,0.3698435425758362,0.0,0.682788074016571,2.1906116008758545
1904-01-01,0.7469118237495422,0.014363688416779041,1.5943694114685059,3.030738353729248
1904-02-01,1.413482427597046,0.0,3.3861448764801025,4.426840782165527
1904-03-01,1.0280095338821411,0.0,2.249701976776123,2.786054849624634
1904-04-01,0.514605700969696,0.0,1.2713788747787476,1.8465263843536377
1904-05-01,0.9605438113212585,0.014777597039937973,1.861977219581604,2.5713019371032715
1904-06-01,0.5079267621040344,0.0,1.4314298629760742,2.0778820514678955
1904-07-01,0.4913659989833832,0.0,1.572371244430542,2.13393235206604
1904-08-01,0.7231881618499756,0.0,1.8002769947052002,2.6927218437194824
1904-09-01,0.542870819568634,0.0,1.1975091695785522,2.219383716583252
1904-10-01,0.3294892907142639,0.0,1.213119626045227,1.917028546333313
