date,return,ambiguity_metric,risk,risk_sq,gpr_china_linear
2018-01-12,0.0206837117449149,0.00473860802820555,0.0022702213985670997,5.153905198511958e-06,0.8320984748693613
2018-01-19,0.014329031789345192,0.00619100826513796,0.00385236244392322,1.4840696399350084e-05,0.8489380570558401
2018-01-26,0.022239343094864972,0.00467333404835834,0.00599837205488342,3.598046730880634e-05,0.865777639242319
2018-02-02,-0.02522578196816183,0.0057227883609662,0.00989674779316042,9.794561688142565e-05,0.8826172214287978
2018-02-09,-0.10504447998411492,0.00576285757358048,0.01384867379035816,0.00019178576575175303,0.8994568036152766
2018-02-16,0.03249620482660387,0.007343805815290767,0.02279894226172523,0.0005197917682534808,0.9162963858017554
2018-02-23,0.02603709087596706,0.007512499086063501,0.016040230495026703,0.0002572889943335846,0.9331359679882343
2018-03-02,-0.013205296483472462,0.00530516184915758,0.01126452162369122,0.00012688944741060708,0.9499755501747131
2018-03-09,0.0228507012338246,0.00416432222560794,0.008675881052837679,7.527091204298782e-05,0.966815132361192
2018-03-16,-0.012761766850111322,0.0042943710608536,0.007787685639695641,6.0648047622721704e-05,0.9836547145476708
2018-03-23,-0.03720169164479814,0.00425687800825956,0.00786591140570416,6.187256224238678e-05,1.0004942967341497
2018-03-30,-0.0012819089633427927,0.0040525429224918,0.013759530582772,0.00018932468185823797,1.0173338789206285
2018-04-06,-0.011120899971923226,0.004828121073653967,0.0103659335872035,0.00010745257913431363,1.0341734611071074
2018-04-13,0.004348772661122435,0.0044770479133935,0.00901547414160606,8.127877399796751e-05,1.0510130432935862
2018-04-20,-0.028692437603781817,0.00560370222822252,0.01116329146036114,0.00012461907622897197,1.0678526254800649
2018-04-27,-0.0008790607639134196,0.005365304094407121,0.01348392812863414,0.000181816317778171,1.0846922076665437
2018-05-04,0.004786363318187492,0.0062889397210941665,0.0114943181102311,0.00013211934881918666,1.1015317898530226
2018-05-11,0.025774864765006122,0.0049349472645923,0.0084689766252699,7.172356507936793e-05,1.1183713720395014
2018-05-18,0.00787271825291913,0.00417861090557736,0.0073874916152654,5.457503236561659e-05,1.1352109542259803
2018-05-25,-0.022332498498645492,0.00404735478442648,0.00821405937289898,6.747077138150959e-05,1.1520505364124591
2018-06-01,-0.011794945562068282,0.004353589953583261,0.01078480707985204,0.00011631206374962669,1.168890118598938
2018-06-08,0.0024873618848670898,0.00420597481195936,0.012584544265708559,0.00015837075437557816,1.1661122458321707
2018-06-15,-0.006813219523670977,0.00494074945547066,0.00912184236520468,8.320800813564292e-05,1.1633343730654035
2018-06-22,-0.03889696431262046,0.005976176341260825,0.015818136503426748,0.0002502134424410418,1.1605565002986362
2018-06-29,-0.02715958994140022,0.00526839339168544,0.01217907843484714,0.00014832995152215867,1.157778627531869
2018-07-06,-0.042097937434751986,0.007078046979095321,0.01929287677269394,0.0003722150941663534,1.1550007547651018
2018-07-13,0.03767064571342471,0.0069093258907466995,0.01679034265517946,0.0002819156064783388,1.1522228819983347
2018-07-20,0.00024255087232838424,0.0041141692173746,0.01114178341755718,0.00012413933772375217,1.1494450092315673
2018-07-27,0.008239256866037103,0.0053201266675889005,0.010798535946636139,0.00011660837859079285,1.1466671364648002
2018-08-03,-0.06003260267455335,0.00626079065916212,0.00894982536974602,8.009937414894949e-05,1.143889263698033
2018-08-10,0.02701782613588022,0.00679513786862916,0.01908872632897592,0.0003643794728625385,1.1411113909312658
2018-08-17,-0.05237618502691754,0.00515207107199422,0.014171109615942559,0.00020082034774705966,1.1383335181644985
2018-08-24,0.029476540354832714,0.00617382926571086,0.0132995542189041,0.00017687814242156984,1.1355556453977311
2018-08-31,0.002917354880256684,0.005510254125259481,0.01250312219780734,0.00015632806469330265,1.132777772630964
2018-09-07,-0.01694631291152493,0.00508431475201498,0.00961297251740806,9.240924062044265e-05,1.1299998998641967
2018-09-14,-0.010605642027062268,0.00503989469783254,0.01000137687182694,0.00010002753933231482,1.1272220270974296
2018-09-21,0.050811518634566455,0.00490030323846702,0.012496319872153,0.00015615801034716596,1.1244441543306622
2018-09-28,0.008459506224038682,0.00443442181815615,0.015460585461024051,0.00023902970279762829,1.1216662815638951
2018-10-12,-0.08011094176077782,0.00451639425848214,0.02387728270791428,0.0005701246295136622,1.1161105360303607
2018-10-19,-0.01078592251307009,0.00452581552174112,0.02136730006391998,0.00045656151202159474,1.1133326632635934
2018-10-26,0.013152445813689684,0.005325656868490481,0.02842795659986292,0.0008081487164436898,1.1105547904968263
2018-11-02,0.03688929178611422,0.00439162440252754,0.01820972564076832,0.0003315941079120552,1.107776917730059
2018-11-09,-0.03771858815080542,0.00283908531178004,0.014979710566698178,0.00022439172866204905,1.1049990449632918
2018-11-16,0.028326945002653092,0.00490862848746786,0.010884994082510879,0.00011848309617629685,1.1022211721965245
2018-11-23,-0.0353561754332361,0.00513772367752526,0.013383715486370278,0.00017912384022010763,1.0994432994297572
2018-11-30,0.009360965238868535,0.0056357299141359595,0.01171225493374902,0.00013717691563312824,1.09666542666299
2018-12-07,0.0034685831599695627,0.00304553162451658,0.01647759420300564,0.0002715111107189251,1.0938875538962227
2018-12-14,-0.004785908830508223,0.00352002243412866,0.010808888472381002,0.0001168320700083709,1.0911096811294556
2018-12-21,-0.04387934689855444,0.00578354723005408,0.0093931182212814,8.823066991896865e-05,1.0883318083626883
2018-12-28,-0.005859362747453467,0.00511340207088478,0.00588050192640242,3.458030290642257e-05,1.0855539355959212
2019-01-04,0.008498750366843444,0.004212874886816767,0.009593741807462532,9.203988186825445e-05,1.0827760628291538
