date,5d20b,5d30b,5d40b,5d50b,5d60b,5d70b,5d80b,5d90b,5d100b,8d20b,8d30b,8d40b,8d50b,8d60b,8d70b,8d80b,8d90b,8d100b,11d20b,11d30b,11d40b,11d50b,11d60b,11d70b,11d80b,11d90b,11d100b,14d20b,14d30b,14d40b,14d50b,14d60b,14d70b,14d80b,14d90b,14d100b,17d20b,17d30b,17d40b,17d50b,17d60b,17d70b,17d80b,17d90b,17d100b,20d20b,20d30b,20d40b,20d50b,20d60b,20d70b,20d80b,20d90b,20d100b
2018-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,0.009095604729858936,0.00734570821815887,0.007382119992661354,0.005197856487538408,0.005428228661691389,0.005021693727794616,0.004984724270799284,0.004394312509448732,0.004026765454003611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,0.008628064524719984,0.007755681911496425,0.005973802959852696,0.005457541810081681,0.005252489530185034,0.004835785888180204,0.004290900304162742,0.004258598312053507,0.0038958620746576437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,0.006879712241747689,0.005713829721793098,0.004967625919773905,0.003875695074422739,0.0037396399658256225,0.0036316049249635165,0.003347741079271909,0.00303591984487134,0.003147352234578361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,0.007209221611087153,0.005792109504969725,0.005152996728484516,0.004423338740779516,0.003630529757551985,0.0036629869515645667,0.003343848541568273,0.003018788506608419,0.0032377172415687496,0.0071350413337838425,0.005727728628122637,0.004953089547708461,0.0045350283876748,0.0037446502950733915,0.003651670681007665,0.0033725738773959,0.0031614834806071523,0.003263976144487178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,0.011191580300496261,0.007735112961469383,0.006399779085010776,0.0057706388883748475,0.004952779808277216,0.004611573159273697,0.004027482609841421,0.003904202719833645,0.003777512378578148,0.010039562170506191,0.0068484745168699065,0.0057302878637335,0.005109250838302134,0.004720256305875094,0.004325024823156583,0.0036925706004991314,0.003747495932585811,0.003586932461829574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-16,0.011811393585746448,0.008767970554354932,0.007122635737792078,0.006202441702375605,0.005268201072187475,0.004956605087593403,0.0043855388991371385,0.004025111403294739,0.003883651144414659,0.0108833618742353,0.007842258703853293,0.006424794251771095,0.005565174992470338,0.005006283588816825,0.004641085270177058,0.004113985494996095,0.004015512253548674,0.0038051592208132715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-17,0.014741998052090163,0.011005690208463918,0.00846013390590219,0.007255006825981209,0.006083945814223731,0.005530284314783489,0.004951549223733849,0.004591738124673874,0.004280526280278779,0.013220375442108478,0.00963838125892839,0.007671045360257403,0.006588126660159315,0.0058521702588324055,0.005376005728353734,0.004744086274467742,0.004571170659883873,0.004249825420662534,0.012409509421628355,0.00886735747637932,0.007216820548386368,0.0062186579007664925,0.005579036567987015,0.0050529503514621784,0.004404380952640823,0.0043477390660612595,0.004101248728354661,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-18,0.012873836017681292,0.009886086450396644,0.007787265106402845,0.006611505508088692,0.005809955659944775,0.005400623101096731,0.004568889303173495,0.004266252716222536,0.003867773246108854,0.010521891335147695,0.008897201657935472,0.007330885736711319,0.006035776055713668,0.0053180245081114914,0.00501089484317371,0.0044769460188950685,0.004093609450142969,0.003696450684108221,0.010450542284586967,0.008638109649657128,0.006998577047211363,0.005753320755584687,0.005071020971240114,0.004713478109560893,0.004223698953769668,0.0039570110604833795,0.003526980103283059,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-19,0.009661453907645536,0.007705365626113924,0.006238662740278333,0.005115448400869671,0.004917397683501038,0.004360603511629376,0.003875527289532836,0.0036570024592760585,0.003371720473507608,0.009725489451968885,0.008570290766614513,0.0069143061347673425,0.005820664661224687,0.005155734779816318,0.004813747347101718,0.004290042470094945,0.004014786585305781,0.0036275406966481587,0.010368124035306165,0.008632709265100014,0.006953367514445222,0.005774659966678967,0.005108123386229568,0.0047133389508971545,0.004252748289242889,0.003984864271016813,0.0035792245422930323,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-22,0.010379181195079827,0.008265148532319602,0.006453446842577017,0.0055720381141992,0.005056595944045515,0.004405668586590916,0.0040167096337555015,0.0037171450512433163,0.00355872340943019,0.010075579757461785,0.00880110645903597,0.006916191264417023,0.006132905371512718,0.005183485218018782,0.004699221783598158,0.004216314847011624,0.003984233781096244,0.003607223001849622,0.010360495611939873,0.008553098372227001,0.006954907597844892,0.005843186206182846,0.005126262119446925,0.004707049793111135,0.004232937926003816,0.003994171845132733,0.0036074765955749523,0.0101094681303393,0.008253990657456784,0.006702728798017296,0.005612028160449883,0.004928511739092772,0.004499827742782403,0.004064914295362262,0.0038412293696742953,0.0034672962312788345,,,,,,,,,,,,,,,,,,
